Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2019","2019","t","421218.19","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","294439","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2020","2020","100 g/ha","15237","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2020","2020","t","448632.58","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","317212","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2021","2021","100 g/ha","15216","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2021","2021","t","482682","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","299972","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5419","Yield","0112","Maize (corn)","2022","2022","100 g/ha","15286","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0112","Maize (corn)","2022","2022","t","458522.08","A","Official figure",""
